# Abstand links, Wellenlaenge links, Abstand rechts, Wellenlaenge rechts
      1.70,     690.29,       1.90,     771.59
      3.50,     711.75,       3.10,     630.12
      4.90,     665.66,       4.70,     638.28
      6.50,     664.36,       6.20,     633.28
      8.00,     656.57,       7.80,     639.81
     10.00,     688.06,       9.50,     652.60
     11.00,     650.97,      11.10,     657.13
     14.20,     744.63,      12.80,     667.35
     16.70,     787.01,      14.50,     676.75
     19.30,     827.94,      16.40,     694.66
     22.60,     891.36,      18.40,     714.83
     26.30,     949.65,      20.70,     744.08
     31.20,     961.05,      22.50,     750.71
     38.20,     201.12,      25.20,     782.28
